segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-09-06,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,9,1,0.1111111111111111,5340000.0,5340000,1.0,1.0,3.0,5340000.0,1.0,0.14285714285714285,0.8571428571428571,0.22580645161290322,0.7741935483870968,0.0
2026-09-06,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-09-06,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,40,3,0.075,10330000.0,30990000,0.0,0.0,1.0,0.0,0.0,0.10714285714285714,0.7142857142857143,0.16,0.84,0.0
2026-09-07,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,11,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.34615384615384615,0.6538461538461539,0.0
2026-09-07,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2026-09-07,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,43,1,0.023255813953488372,9080000.0,9080000,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7333333333333333,0.12244897959183673,0.8775510204081632,0.0
2026-09-08,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,49,5,0.10204081632653061,6668000.0,33340000,2.0,0.0,6.0,16670000.0,0.4,0.21875,0.875,0.5,0.5,0.0
2026-09-08,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.0
2026-09-08,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,89,7,0.07865168539325842,8891294.0,62239058,0.0,0.0,3.0,0.0,0.0,0.1791044776119403,0.8507462686567164,0.12959381044487428,0.8704061895551257,0.0
2026-09-09,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,27,5,0.18518518518518517,4600000.0,23000000,0.0,2.0,4.009577,0.0,0.0,0.3333333333333333,0.8888888888888888,0.6551724137931034,0.3448275862068966,0.0
2026-09-09,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-09-09,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,139,7,0.050359712230215826,7906742.857142857,55347200,1.0,1.0,3.0,55347200.0,0.14285714285714285,0.20408163265306123,0.8367346938775511,0.17857142857142858,0.8214285714285714,0.0
2026-09-10,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,30,1,0.03333333333333333,8160000.0,8160000,0.0,0.0,1.0,0.0,0.0,0.2857142857142857,0.9047619047619048,0.7,0.3,0.0
2026-09-10,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.5,0.5,0.0
2026-09-10,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,135,11,0.08148148148148149,13050000.0,143550000,0.0,0.0,3.0,0.0,0.0,0.28888888888888886,0.8222222222222222,0.16083916083916083,0.8391608391608392,0.0
2026-09-11,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,34,2,0.058823529411764705,14840000.0,29680000,0.0,0.0,0.0,0.0,0.0,0.24,0.84,0.46153846153846156,0.5384615384615384,0.0
2026-09-11,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0999,0.9001,0.0
2026-09-11,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,142,12,0.08450704225352113,10757437.166666666,129089246,1.884387,3.0,5.79527,68504636.25571606,0.15703225,0.3146067415730337,0.898876404494382,0.15602836879432624,0.8439716312056738,0.0
2026-09-12,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,9,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.0
2026-09-12,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,13,1,0.07692307692307693,13730000.0,13730000,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.7777777777777778,0.0999,0.9001,0.0
