segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-08-26,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,20,3,0.15,7833333.333333333,23500000,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.8,0.6,0.4,0.0
2026-08-26,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2026-08-26,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,72,5,0.06944444444444445,8998000.0,44990000,0.0,0.0,1.0,0.0,0.0,0.1568627450980392,0.8627450980392157,0.116331096196868,0.883668903803132,0.0
2026-08-27,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,20,1,0.05,3780000.0,3780000,0.0,0.0,1.0,0.0,0.0,0.3076923076923077,1.0,0.3611111111111111,0.6388888888888888,0.0
2026-08-27,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
2026-08-27,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,73,8,0.1095890410958904,12728750.0,101830000,0.0,0.0,1.0,0.0,0.0,0.17857142857142858,0.7857142857142857,0.16,0.84,0.0
2026-08-28,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,12,3,0.25,4939408.0,14818224,0.0,0.0,0.0,0.0,0.0,0.3,0.9,0.3225806451612903,0.6774193548387096,0.0
2026-08-28,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
2026-08-28,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,77,2,0.025974025974025976,4023069.5,8046139,0.0,0.0,0.0,0.0,0.0,0.16071428571428573,0.7678571428571429,0.16332378223495703,0.836676217765043,0.0
2026-08-29,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,13,2,0.15384615384615385,6325296.5,12650593,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.29411764705882354,0.7058823529411765,0.0
2026-08-29,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-29,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,52,2,0.038461538461538464,8800000.0,17600000,0.0,0.0,0.0,0.0,0.0,0.025,0.8,0.21390374331550802,0.786096256684492,0.0
2026-08-30,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,4,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,1.0,0.16666666666666666,0.8333333333333334,0.0
2026-08-30,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,42,2,0.047619047619047616,4645000.0,9290000,0.0,0.0,0.0,0.0,0.0,0.25925925925925924,0.8148148148148148,0.14893617021276595,0.851063829787234,0.0
2026-08-31,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,36,5,0.1388888888888889,5266000.0,26330000,0.0,0.0,0.0,0.0,0.0,0.17857142857142858,0.8571428571428571,0.3333333333333333,0.6666666666666666,0.0
2026-08-31,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0999,0.9001,0.0
2026-08-31,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,97,10,0.10309278350515463,10942000.0,109420000,0.0,0.0,3.0,0.0,0.0,0.12698412698412698,0.8412698412698413,0.12678936605316973,0.8732106339468303,0.0
2026-09-01,24022049179,01_Core_Exact_NY,ENABLED,SEARCH,TARGET_CPA,45000000,24,3,0.125,9966666.666666666,29900000,1.5,1.5,5.985203,19933333.333333332,0.5,0.2222222222222222,0.8888888888888888,0.0999,0.9001,0.0
2026-09-01,24017629178,02_Professions_NY,ENABLED,SEARCH,TARGET_CPA,25000000,4,1,0.25,8830000.0,8830000,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
2026-09-01,23165646939,Sales-Search-1,ENABLED,SEARCH,TARGET_CPA,500000000,87,5,0.05747126436781609,12670000.0,63350000,0.5,0.5,1.0,126700000.0,0.1,0.19672131147540983,0.819672131147541,0.1,0.9,0.0
