segments.date,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,campaign.bidding_strategy_type,campaign_budget.amount_micros,metrics.impressions,metrics.clicks,metrics.ctr,metrics.average_cpc,metrics.cost_micros,metrics.conversions,metrics.conversions_by_conversion_date,metrics.all_conversions,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.absolute_top_impression_percentage,metrics.top_impression_percentage,metrics.search_impression_share,metrics.search_rank_lost_impression_share,metrics.search_budget_lost_impression_share
2026-06-07,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,31,2,0.06451612903225806,2127422.5,4254845,0.0,0.0,0.0,0.0,0.0,0.038461538461538464,0.9230769230769231,0.0999,0.9001,0.0
2026-06-08,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,79,13,0.16455696202531644,8425007.23076923,109525094,2.0,2.0,2.0,54762547.0,0.15384615384615385,0.16129032258064516,0.8387096774193549,0.11033274956217162,0.8896672504378283,0.0
2026-06-09,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,100,6,0.06,9597960.666666666,57587764,1.0,0.0,1.0,57587764.0,0.16666666666666666,0.10126582278481013,0.9113924050632911,0.1553398058252427,0.8446601941747572,0.0
2026-06-10,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,101,5,0.04950495049504951,5454644.0,27273220,1.0,2.0,1.0,27273220.0,0.2,0.14942528735632185,0.8620689655172413,0.1494057724957555,0.8505942275042445,0.0
2026-06-11,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,106,7,0.0660377358490566,3430349.1428571427,24012444,0.0,0.0,0.0,0.0,0.0,0.1724137931034483,0.8735632183908046,0.14123376623376624,0.8587662337662337,0.0
2026-06-12,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,58,8,0.13793103448275862,4426695.125,35413561,1.0,1.0,1.0,35413561.0,0.125,0.09433962264150944,0.8490566037735849,0.125,0.875,0.0
2026-06-13,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,30,4,0.13333333333333333,9537500.0,38150000,1.0,1.0,1.0,38150000.0,0.25,0.14285714285714285,0.8095238095238095,0.11731843575418995,0.88268156424581,0.0
2026-06-14,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,46,4,0.08695652173913043,4977357.0,19909428,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.8857142857142857,0.18617021276595744,0.8138297872340425,0.0
2026-06-15,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,131,5,0.03816793893129771,10604000.0,53020000,0.0,1.0,0.0,0.0,0.0,0.1958762886597938,0.8247422680412371,0.16385135135135134,0.8361486486486487,0.0
2026-06-16,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,110,11,0.1,11077662.363636363,121854286,2.0,2.0,2.0,60927143.0,0.18181818181818182,0.2857142857142857,0.8181818181818182,0.14338235294117646,0.8566176470588235,0.0
2026-06-17,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,154,11,0.07142857142857142,9216141.818181818,101377560,2.0,2.0,2.0,50688780.0,0.18181818181818182,0.19130434782608696,0.8173913043478261,0.20959147424511546,0.7904085257548845,0.0
2026-06-18,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,138,9,0.06521739130434782,10881062.0,97929558,1.666666,1.0,1.666666,58757758.30310332,0.1851851111111111,0.17142857142857143,0.7904761904761904,0.18453427065026362,0.8154657293497364,0.0
2026-06-19,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,42,2,0.047619047619047616,3490000.0,6980000,0.333334,1.0,0.333334,20939958.12008376,0.166667,0.17647058823529413,0.8235294117647058,0.0999,0.9001,0.0
2026-06-20,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,28,1,0.03571428571428571,6260000.0,6260000,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.7083333333333334,0.13297872340425532,0.8670212765957447,0.0
2026-06-21,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,50,5,0.1,13029273.2,65146366,0.0,0.0,0.0,0.0,0.0,0.1282051282051282,0.7692307692307693,0.195,0.805,0.0
2026-06-22,23165646939,Sales-Search-1,ENABLED,SEARCH,MAXIMIZE_CONVERSIONS,500000000,83,2,0.024096385542168676,3650000.0,7300000,0.0,1.0,0.0,0.0,0.0,0.109375,0.765625,0.10126582278481013,0.8987341772151899,0.0
